Path,Size
server/src/controllers/file-report.controller.ts,951
server/src/controllers/index.ts,2991
server/src/controllers/job.controller.ts,796
server/src/controllers/library.controller.ts,2419
server/src/controllers/map.controller.ts,868
server/src/controllers/memory.controller.ts,2110
server/src/controllers/notification.controller.ts,721
server/src/controllers/oauth.controller.ts,2060
server/src/controllers/partner.controller.ts,1577
server/src/controllers/person.controller.ts,3259
server/src/controllers/search.controller.ts,2134
server/src/controllers/server-info.controller.ts,1670
server/src/controllers/session.controller.ts,1058
server/src/controllers/shared-link.controller.ts,3122
server/src/controllers/sync.controller.ts,1026
server/src/controllers/system-config.controller.ts,1114
server/src/controllers/system-metadata.controller.ts,1135
server/src/controllers/tag.controller.ts,2247
server/src/controllers/timeline.controller.ts,1037
server/src/controllers/trash.controller.ts,1028
server/src/controllers/user-admin.controller.ts,2566
server/src/controllers/user.controller.ts,3072
server/src/cores/access.core.ts,11279
server/src/cores/storage.core.spec.ts,1021
server/src/cores/storage.core.ts,11632
server/src/cores/system-config.core.ts,4793
server/src/cores/user.core.ts,1572
server/src/dtos/activity.dto.ts,1921
server/src/dtos/album-response.dto.spec.ts,595
server/src/dtos/album.dto.ts,5163
server/src/dtos/api-key.dto.ts,473
server/src/dtos/asset-ids.response.dto.ts,710
server/src/dtos/asset-media-response.dto.ts,803
server/src/dtos/asset-media.dto.ts,2244
server/src/dtos/asset-response.dto.ts,5380
server/src/dtos/asset.dto.ts,2814
server/src/dtos/audit.dto.ts,1734
server/src/dtos/auth.dto.ts,2767
server/src/dtos/download.dto.ts,723
server/src/dtos/duplicate.dto.ts,698
server/src/dtos/exif.dto.ts,2239
server/src/dtos/job.dto.ts,2502
server/src/dtos/library.dto.ts,2977
server/src/dtos/memory.dto.ts,1961
server/src/dtos/model-config.dto.ts,1066
server/src/dtos/partner.dto.ts,259
server/src/dtos/person.dto.ts,3856
server/src/dtos/search.dto.ts,6634
server/src/dtos/server-info.dto.ts,2909
server/src/dtos/session.dto.ts,528
server/src/dtos/shared-link.dto.ts,4153
server/src/dtos/stack.dto.ts,171
server/src/dtos/sync.dto.ts,753
server/src/dtos/system-config.dto.ts,12404
server/src/dtos/system-metadata.dto.ts,317
server/src/dtos/tag.dto.ts,814
server/src/dtos/time-bucket.dto.ts,1336
server/src/dtos/user-preferences.dto.ts,1689
server/src/dtos/user-profile.dto.ts,552
server/src/dtos/user.dto.spec.ts,1618
server/src/dtos/user.dto.ts,3605
server/src/emails/album-invite.email.tsx,4643
server/src/emails/album-update.email.tsx,4585
server/src/emails/test.email.tsx,3422
server/src/emails/welcome.email.tsx,4159
server/src/entities/activity.entity.ts,1359
server/src/entities/album-user.entity.ts,1057
server/src/entities/album.entity.ts,1864
server/src/entities/api-key.entity.ts,607
server/src/entities/asset-face.entity.ts,1412
server/src/entities/asset-job-status.entity.ts,625
server/src/entities/asset-stack.entity.ts,583
server/src/entities/asset.entity.ts,5281
server/src/entities/audit.entity.ts,656
server/src/entities/exif.entity.ts,2685
server/src/entities/geodata-places.entity.ts,1068
server/src/entities/index.ts,1974
server/src/entities/library.entity.ts,1075
server/src/entities/memory.entity.ts,1509
server/src/entities/move.entity.ts,870
server/src/entities/partner.entity.ts,796
server/src/entities/person.entity.ts,1189
server/src/entities/session.entity.ts,680
server/src/entities/shared-link.entity.ts,1797
server/src/entities/smart-info.entity.ts,585
server/src/entities/smart-search.entity.ts,599
server/src/entities/system-metadata.entity.ts,1023
server/src/entities/tag.entity.ts,1081
server/src/entities/user-metadata.entity.ts,1701
server/src/entities/user.entity.ts,1693
server/src/interfaces/access.interface.ts,1719
server/src/interfaces/activity.interface.ts,484
server/src/interfaces/album-user.interface.ts,502
server/src/interfaces/album.interface.ts,1674
server/src/interfaces/api-key.interface.ts,610
server/src/interfaces/asset-stack.interface.ts,447
server/src/interfaces/asset.interface.ts,6613
server/src/interfaces/audit.interface.ts,384
server/src/interfaces/crypto.interface.ts,481
server/src/interfaces/database.interface.ts,1658
server/src/interfaces/event.interface.ts,2536
server/src/interfaces/job.interface.ts,9184
